muni_id,type_of_violence,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,year,month
484028019,2,0,0,0,3,3,2010,3
484028022,2,0,0,0,4,4,2010,5
484028022,2,0,0,0,12,12,2010,7
484028022,2,0,0,0,14,14,2010,8
484028025,2,0,0,0,8,8,2010,4
484028025,2,0,0,0,1,1,2010,5
484028027,2,0,0,0,162,162,2005,1
484028027,2,0,0,0,1,1,2005,4
484028027,2,0,0,0,118,118,2006,1
484028027,2,0,0,0,1,1,2006,2
484028027,2,0,0,0,4,4,2006,3
484028027,2,0,0,1,4,5,2006,4
484028027,2,0,0,0,2,2,2006,7
484028027,2,5,0,0,5,10,2006,9
484028027,2,0,0,0,3,3,2007,1
484028027,2,0,0,0,1,1,2007,10
484028027,2,0,0,0,4,4,2007,5
484028027,2,0,0,0,1,1,2010,7
484028030,2,0,0,0,17,17,2005,1
484028030,2,0,0,0,41,41,2006,1
484028030,2,0,0,0,64,64,2007,1
484028030,2,0,0,0,0,0,2008,6
484028030,2,0,0,0,34,34,2010,1
484028030,2,0,0,0,0,0,2010,2
484028030,2,0,0,0,27,27,2010,5
484028030,2,0,0,0,5,5,2010,8
484028033,2,0,0,0,8,8,2010,4
484028033,2,0,0,0,5,5,2010,5
484028033,3,0,0,72,0,72,2010,8
484028036,2,0,0,0,12,12,2010,10
484028036,2,0,0,0,4,4,2010,2
484028036,2,0,0,0,3,3,2010,3
484028036,2,0,0,0,7,7,2010,4
484030017,2,0,0,0,1,1,2007,5
484030017,2,0,0,0,2,2,2007,8
484030130,2,0,0,0,2,2,2007,8
484030166,1,0,0,0,0,0,1996,9
484030186,2,0,0,0,1,1,2007,10
484030186,2,4,0,0,0,4,2007,3
484030186,2,0,0,0,3,3,2007,4
484030186,2,0,0,0,1,1,2007,6
484030186,2,0,0,0,5,5,2009,6
484031050,2,0,0,0,1,1,2007,12
484032010,2,0,0,0,1,1,2007,12
